response_time,sleepMs
422.39,1000
194.34,1000
301.84,1000
192.47,1000
296.53,1000
500.43,1000
502.48,1000
97.82,1000
191.70,1000
701.48,1000
890.78,1000
496.67,1000
296.56,1000
698.39,1000
91.17,1000
219.38,1000
75.50,1000
495.95,1000
93.82,1000
195.13,1000
96.74,1000
198.36,1000
296.48,1000
497.66,1000
94.52,1000
5.87,1000
91.42,1000
593.95,1000
293.38,1000
201.61,1000
396.52,1000
396.09,1000
496.53,1000
502.93,1000
32.60,1000
